Anno,Quartiere,NIL,Uomini,Donne,Totale,Minori,Stranieri,Famiglie,Famiglie unipersonali,80 e più soli,Nati,Morti,Emigrati,Immigrati,80 e più,65 e più,Scuola dell'infanzia (numero),Scuola primaria (numero),Scuola secondaria di primo grado (numero),Area (metri quadrati),fermate linee superficie,fermate metro,piste ciclabili (m)
2011,Quarto Oggiaro,76,15343,16582,31925,5293,6419,2398,993,112,244,363,688,790,2385,7316,7,5,3,2778263 .75,47,2,840
2011,Quinto Romano,62,2432,2536,4968,701,422,882,415,50,34,34,100,106,220,1086,1,1,0,1645859 .77,19,0,1680
2011,Quintosole,39,504,172,676,73,117,2007,775,94,8,7,69,79,9,78,0,0,0,1057528 .77,4,0,0
2011,Ripamonti,38,6534,6995,13529,2043,1499,16731,7351,1240,125,120,258,430,779,3416,4,2,1,1853233 .5,34,0,930
2011,Rogoredo,33,4543,4410,8953,1690,1414,1986,839,232,111,56,187,432,352,1277,2,1,1,1200161 .64,8,0,0
2011,Ronchetto delle Rane,40,395,373,768,199,116,3895,1726,407,6,4,12,9,24,84,0,0,0,188870 .6,1,0,0
2011,Ronchetto sul Naviglio,48,6981,7551,14532,1948,1693,8150,3488,626,111,138,296,385,911,4040,4,4,3,2406775 .2,39,0,4430
2011,S. Cristoforo,45,6248,6785,13033,1926,2250,14401,6622,970,121,102,339,491,764,2911,5,1,1,1596174 .14,37,0,4200
2011,S. Siro,60,6245,6771,13016,2452,2463,8483,3684,715,101,96,304,434,836,2849,7,9,4,3435307 .37,65,0,0
2011,Sacco,74,145,128,273,49,53,19436,8822,1465,4,2,3,6,7,47,0,0,0,708465 .8,4,0,2204
2011,Sarpi,69,13509,15685,29194,4454,4936,2699,1296,171,299,294,637,1188,2024,6162,3,4,3,1811914 .53,70,0,0
2011,Scalo Romana,36,5427,5130,10557,1471,3162,35,12,1,92,67,480,681,437,1878,0,1,0,1736727 .98,26,0,2000
2011,Selinunte,57,12365,13438,25803,3875,7995,118,37,1,220,303,568,1144,2088,6090,2,1,1,984925 .54,47,0,0
2011,Stadera,42,14135,14958,29093,4422,5040,30,15,1,250,278,585,1143,2020,6705,9,5,3,3232237 .35,47,1,2600
2011,Stephenson,75,31,26,57,5,14,15656,6878,1135,0,1,1,2,2,12,0,0,0,560097 .89,0,0,0
2011,Tibaldi,43,5529,6097,11626,1441,1854,6864,3724,426,99,115,309,478,928,2910,2,1,1,786214 .31,22,0,0
2011,Ticinese,6,9351,10669,20020,2677,2463,1866,864,80,144,189,530,872,1236,4249,8,3,2,1255064 .75,37,0,184
2011,Tortona,50,6851,8268,15119,2300,1354,10452,4940,536,117,134,287,439,1142,3693,4,2,0,996786 .39,23,1,730
2011,Tre Torri,59,594,731,1325,238,158,11146,4692,588,7,10,24,48,103,312,0,0,0,513316 .34,14,0,780
2011,Trenno,64,2157,2102,4259,568,261,3345,1222,192,27,37,188,133,203,995,2,0,0,489710 .56,13,0,225
2011,Triulzo Superiore,32,839,561,1400,227,934,4411,1892,356,14,6,50,161,30,113,0,0,0,1395022 .03,14,1,0
2011,Umbria - Molise,28,10580,11912,22492,3112,4327,5839,2322,287,194,247,497,969,1807,5413,3,1,1,1192396 .73,43,1,2910
2011,Viale Monza,16,13301,14016,27317,4043,5851,61,29,2,279,212,660,1160,1569,6025,9,6,2,3005623 .49,64,4,0
2011,Vigentina,5,6400,7323,13723,2184,1643,195,100,3,93,131,324,521,1093,3341,4,3,2,1135239 .32,39,0,0
2011,Villapizzone,71,19111,20081,39192,6076,11134,130,66,9,407,427,898,1716,2923,8434,11,8,3,3427070 .6,84,0,902
2011,Washington,51,11845,14696,26541,4309,2859,125,56,6,240,292,502,876,2173,6508,4,3,3,1306450 .76,59,0,2440
2011,XXII Marzo,26,14292,16949,31241,4699,3169,271,144,9,250,302,662,1096,2351,7519,5,3,3,1637499 .71,68,0,1140
2011,N.D.,,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2012,Adriano,17,7773,7534,15307,2923,3083,6937,2772,240,166,93,358,735,513,2252,4,1,0,2431560 .11,34,0,1360
2012,Affori,80,12101,11963,24064,3947,6974,11575,4887,600,261,177,599,924,1273,4698,5,3,2,2070893 .65,21,2,1550
2012,Baggio,55,14205,15643,29848,4541,5068,14941,6671,978,237,357,786,848,2090,7789,7,3,2,3478599 .96,55,0,0
2012,Bande Nere,52,19932,24016,43948,6052,6552,22278,10107,2145,321,682,1156,1325,4534,12705,15,7,7,2663880 .93,73,3,0
2012,Barona,46,8013,9164,17177,2330,2037,7943,3054,606,88,265,424,260,1374,5219,3,3,1,2006324 .59,59,0,1240
2012,Bicocca,15,3714,3643,7357,1316,1222,3413,1430,128,82,42,345,367,285,1161,0,0,0,1534521 .13,39,3,3070
2012,Bovisa,77,6695,6312,13007,1917,4500,7043,3842,435,141,95,370,629,763,2345,4,2,1,1913132 .63,27,1,3470
2012,Bovisasca,81,3538,3885,7423,1120,971,3377,1222,216,42,91,180,177,562,1913,3,1,1,1576826 .44,23,0,0
2012,Brera,2,8292,9938,18230,2876,2666,9064,4046,609,160,151,638,720,1233,4142,6,6,5,1637395 .23,63,4,1354
2012,Bruzzano,83,6137,6312,12449,1961,2217,5912,2315,300,105,125,308,308,673,2832,3,2,1,1667691 .29,21,1,0
2012,Buenos Aires - Venezia,21,29122,33214,62336,9175,8583,30800,13646,2089,506,508,1800,2188,4350,14034,10,5,4,2877542 .27,119,5,1220
